REF                                                                                                                                                     TYPE                                                      DIGEST                                                                  SIZE      PLATFORMS                                                   LABELS                          
docker.io/calico/cni:v3.13.2                                                                                                                            application/vnd.docker.distribution.manifest.list.v2+json sha256:bbf7e3ac3f80d0a356a6c27b095bd313d1106f8ed84f85850816ed79295843c1 73.2 MiB  linux/amd64,linux/arm64,linux/ppc64le                       io.cri-containerd.image=managed 
docker.io/calico/cni@sha256:bbf7e3ac3f80d0a356a6c27b095bd313d1106f8ed84f85850816ed79295843c1                                                            application/vnd.docker.distribution.manifest.list.v2+json sha256:bbf7e3ac3f80d0a356a6c27b095bd313d1106f8ed84f85850816ed79295843c1 73.2 MiB  linux/amd64,linux/arm64,linux/ppc64le                       io.cri-containerd.image=managed 
docker.io/calico/kube-controllers:v3.13.2                                                                                                               application/vnd.docker.distribution.manifest.list.v2+json sha256:a635173cbe9deb33deba9baadffd933f61c63fbdadc0e3fa60ff1a14198c1da8 22.1 MiB  linux/amd64,linux/arm64,linux/ppc64le                       io.cri-containerd.image=managed 
docker.io/calico/kube-controllers@sha256:a635173cbe9deb33deba9baadffd933f61c63fbdadc0e3fa60ff1a14198c1da8                                               application/vnd.docker.distribution.manifest.list.v2+json sha256:a635173cbe9deb33deba9baadffd933f61c63fbdadc0e3fa60ff1a14198c1da8 22.1 MiB  linux/amd64,linux/arm64,linux/ppc64le                       io.cri-containerd.image=managed 
docker.io/calico/node:v3.13.2                                                                                                                           application/vnd.docker.distribution.manifest.list.v2+json sha256:cb9dea7b86471c71925ae318f7c60af72d9ddf1dab0fe2029832a671b83bba6a 84.8 MiB  linux/amd64,linux/arm64,linux/ppc64le                       io.cri-containerd.image=managed 
docker.io/calico/node@sha256:cb9dea7b86471c71925ae318f7c60af72d9ddf1dab0fe2029832a671b83bba6a                                                           application/vnd.docker.distribution.manifest.list.v2+json sha256:cb9dea7b86471c71925ae318f7c60af72d9ddf1dab0fe2029832a671b83bba6a 84.8 MiB  linux/amd64,linux/arm64,linux/ppc64le                       io.cri-containerd.image=managed 
docker.io/calico/pod2daemon-flexvol:v3.13.2                                                                                                             application/vnd.docker.distribution.manifest.list.v2+json sha256:0022da5a9a89512f8a117f12d2088b3f1f8f22c094ee15aae24d58085f2c186a 35.8 MiB  linux/amd64,linux/arm64,linux/ppc64le                       io.cri-containerd.image=managed 
docker.io/calico/pod2daemon-flexvol@sha256:0022da5a9a89512f8a117f12d2088b3f1f8f22c094ee15aae24d58085f2c186a                                             application/vnd.docker.distribution.manifest.list.v2+json sha256:0022da5a9a89512f8a117f12d2088b3f1f8f22c094ee15aae24d58085f2c186a 35.8 MiB  linux/amd64,linux/arm64,linux/ppc64le                       io.cri-containerd.image=managed 
docker.io/cdkbot/hostpath-provisioner-amd64:1.0.0                                                                                                       application/vnd.docker.distribution.manifest.v2+json      sha256:339f78eabc68ffb1656d584e41f121cb4d2b667565428c8dde836caf5b8a0228 9.3 MiB   linux/amd64                                                 io.cri-containerd.image=managed 
docker.io/cdkbot/hostpath-provisioner-amd64@sha256:339f78eabc68ffb1656d584e41f121cb4d2b667565428c8dde836caf5b8a0228                                     application/vnd.docker.distribution.manifest.v2+json      sha256:339f78eabc68ffb1656d584e41f121cb4d2b667565428c8dde836caf5b8a0228 9.3 MiB   linux/amd64                                                 io.cri-containerd.image=managed 
docker.io/cdkbot/registry-amd64:2.6                                                                                                                     application/vnd.docker.distribution.manifest.v2+json      sha256:9dc5ad9e0b3ed59afa4febe8d663fd545628c60886a2c9fcd0e186e5cf6343ef 52.1 MiB  linux/amd64                                                 io.cri-containerd.image=managed 
docker.io/cdkbot/registry-amd64@sha256:9dc5ad9e0b3ed59afa4febe8d663fd545628c60886a2c9fcd0e186e5cf6343ef                                                 application/vnd.docker.distribution.manifest.v2+json      sha256:9dc5ad9e0b3ed59afa4febe8d663fd545628c60886a2c9fcd0e186e5cf6343ef 52.1 MiB  linux/amd64                                                 io.cri-containerd.image=managed 
docker.io/coredns/coredns:1.6.6                                                                                                                         application/vnd.docker.distribution.manifest.list.v2+json sha256:41bee6992c2ed0f4628fcef75751048927bcd6b1cee89c79f6acb63ca5474d5a 12.3 MiB  linux/amd64,linux/arm,linux/arm64,linux/ppc64le,linux/s390x io.cri-containerd.image=managed 
docker.io/coredns/coredns@sha256:41bee6992c2ed0f4628fcef75751048927bcd6b1cee89c79f6acb63ca5474d5a                                                       application/vnd.docker.distribution.manifest.list.v2+json sha256:41bee6992c2ed0f4628fcef75751048927bcd6b1cee89c79f6acb63ca5474d5a 12.3 MiB  linux/amd64,linux/arm,linux/arm64,linux/ppc64le,linux/s390x io.cri-containerd.image=managed 
docker.io/istio/proxyv2:1.5.0                                                                                                                           application/vnd.docker.distribution.manifest.v2+json      sha256:89b5fe2df96920189a193dd5f7dbd776e00024e4c1fd1b59bb53867278e9645a 105.9 MiB linux/amd64                                                 io.cri-containerd.image=managed 
docker.io/istio/proxyv2@sha256:89b5fe2df96920189a193dd5f7dbd776e00024e4c1fd1b59bb53867278e9645a                                                         application/vnd.docker.distribution.manifest.v2+json      sha256:89b5fe2df96920189a193dd5f7dbd776e00024e4c1fd1b59bb53867278e9645a 105.9 MiB linux/amd64                                                 io.cri-containerd.image=managed 
docker.io/jujusolutions/juju-db:4.0                                                                                                                     application/vnd.docker.distribution.manifest.list.v2+json sha256:d6f685f2135da787686b8a54272d974f9b2e71faa61537bb1729e3f69224b00c 96.7 MiB  linux/amd64,linux/arm64,linux/ppc64le,linux/s390x           io.cri-containerd.image=managed 
docker.io/jujusolutions/juju-db@sha256:d6f685f2135da787686b8a54272d974f9b2e71faa61537bb1729e3f69224b00c                                                 application/vnd.docker.distribution.manifest.list.v2+json sha256:d6f685f2135da787686b8a54272d974f9b2e71faa61537bb1729e3f69224b00c 96.7 MiB  linux/amd64,linux/arm64,linux/ppc64le,linux/s390x           io.cri-containerd.image=managed 
docker.io/jujusolutions/jujud-operator:2.8.6                                                                                                            application/vnd.docker.distribution.manifest.list.v2+json sha256:faa7001df54eaba07bce8d3b6096629b5ce9e53c41cf978bae645c9e0b687082 104.0 MiB linux/amd64,linux/arm64,linux/ppc64le,linux/s390x           io.cri-containerd.image=managed 
docker.io/jujusolutions/jujud-operator@sha256:faa7001df54eaba07bce8d3b6096629b5ce9e53c41cf978bae645c9e0b687082                                          application/vnd.docker.distribution.manifest.list.v2+json sha256:faa7001df54eaba07bce8d3b6096629b5ce9e53c41cf978bae645c9e0b687082 104.0 MiB linux/amd64,linux/arm64,linux/ppc64le,linux/s390x           io.cri-containerd.image=managed 
docker.io/metallb/controller:v0.9.3                                                                                                                     application/vnd.docker.distribution.manifest.list.v2+json sha256:c0c6f8655f9c855bc6e10c9a9975413d253b91063e91732021f07eca140797eb 16.3 MiB  linux/amd64,linux/arm,linux/arm64,linux/ppc64le,linux/s390x io.cri-containerd.image=managed 
docker.io/metallb/controller@sha256:c0c6f8655f9c855bc6e10c9a9975413d253b91063e91732021f07eca140797eb                                                    application/vnd.docker.distribution.manifest.list.v2+json sha256:c0c6f8655f9c855bc6e10c9a9975413d253b91063e91732021f07eca140797eb 16.3 MiB  linux/amd64,linux/arm,linux/arm64,linux/ppc64le,linux/s390x io.cri-containerd.image=managed 
docker.io/metallb/speaker:v0.9.3                                                                                                                        application/vnd.docker.distribution.manifest.list.v2+json sha256:2b74eca0f25e946e9a1dc4b94b9da067b1fec4244364d266283dfbbab546a629 18.3 MiB  linux/amd64,linux/arm,linux/arm64,linux/ppc64le,linux/s390x io.cri-containerd.image=managed 
